+-------------------------------------+
|        Program final_project        |
| Author: Jose Antonio Quinonero Gris |
+-------------------------------------+

Model: Simple                                                                          
Method: RK4                                                                             

Initial time, t_0 (arbitrary units):       0.00
Time of simulation (arbitrary units):     100.00
Time step (arbitrary units):       0.00
Number of points: 50001

Constants:
alpha =   0.400000
alphaprime =   0.000000
beta =   0.100000
kappa =   1.100000
kappaprime =   0.000000
lambda =   0.400000

Results:
Number of iterations: 50001
Total time of simulation:          100.00

------------------------------------------------
           t            Prey           Predator
------------------------------------------------
           1.45           0.18           7.74
           1.45           0.18           7.73
           1.45           0.18           7.73
           1.45           0.18           7.72
           1.45           0.18           7.71
           1.46           0.18           7.71
           1.46           0.18           7.70
           1.46           0.18           7.70
           1.46           0.18           7.69
           1.46           0.17           7.68
           1.47           0.17           7.68
           1.47           0.17           7.67
           1.47           0.17           7.67
           1.47           0.17           7.66
           1.47           0.17           7.66
           1.48           0.17           7.65
           1.48           0.17           7.64
           1.48           0.17           7.64
           1.48           0.17           7.63
           1.48           0.17           7.63
           1.49           0.17           7.62
           1.49           0.17           7.61
           1.49           0.17           7.61
           1.49           0.17           7.60
           1.49           0.16           7.60
           1.50           0.16           7.59
           1.50           0.16           7.59
           1.50           0.16           7.58
           1.50           0.16           7.57
           1.50           0.16           7.57
           1.51           0.16           7.56
           1.51           0.16           7.56
           1.51           0.16           7.55
           1.51           0.16           7.54
           1.51           0.16           7.54
           1.52           0.16           7.53
           1.52           0.16           7.53
           1.52           0.16           7.52
           1.52           0.16           7.52
           1.52           0.16           7.51
           1.53           0.15           7.50
           1.53           0.15           7.50
           1.53           0.15           7.49
           1.53           0.15           7.49
           1.53           0.15           7.48
           1.54           0.15           7.48
           1.54           0.15           7.47
           1.54           0.15           7.46
           1.54           0.15           7.46
           1.54           0.15           7.45
           1.55           0.15           7.45
           1.55           0.15           7.44
           1.55           0.15           7.44
           1.55           0.15           7.43
           1.55           0.15           7.42
           1.56           0.15           7.42
           1.56           0.15           7.41
           1.56           0.15           7.41
           1.56           0.14           7.40
           1.56           0.14           7.40
           1.57           0.14           7.39
           1.57           0.14           7.38
           1.57           0.14           7.38
           1.57           0.14           7.37
           1.57           0.14           7.37
           1.58           0.14           7.36
           1.58           0.14           7.36
           1.58           0.14           7.35
           1.58           0.14           7.34
           1.58           0.14           7.34
           1.59           0.14           7.33
           1.59           0.14           7.33
           1.59           0.14           7.32
           1.59           0.14           7.32
           1.59           0.14           7.31
           1.60           0.14           7.30
           1.60           0.14           7.30
           1.60           0.14           7.29
           1.60           0.13           7.29
           1.60           0.13           7.28
           1.61           0.13           7.28
           1.61           0.13           7.27
           1.61           0.13           7.27
           1.61           0.13           7.26
           1.61           0.13           7.25
           1.62           0.13           7.25
           1.62           0.13           7.24
           1.62           0.13           7.24
           1.62           0.13           7.23
           1.62           0.13           7.23
           1.63           0.13           7.22
           1.63           0.13           7.21
           1.63           0.13           7.21
           1.63           0.13           7.20
           1.63           0.13           7.20
           1.64           0.13           7.19
           1.64           0.13           7.19
           1.64           0.13           7.18
           1.64           0.13           7.18
           1.64           0.12           7.17
           1.65           0.12           7.16
           1.65           0.12           7.16
           1.65           0.12           7.15
           1.65           0.12           7.15
           1.65           0.12           7.14
           1.66           0.12           7.14
           1.66           0.12           7.13
           1.66           0.12           7.13
           1.66           0.12           7.12
           1.66           0.12           7.11
           1.67           0.12           7.11
           1.67           0.12           7.10
           1.67           0.12           7.10
           1.67           0.12           7.09
           1.67           0.12           7.09
           1.68           0.12           7.08
           1.68           0.12           7.08
           1.68           0.12           7.07
           1.68           0.12           7.07
           1.68           0.12           7.06
           1.69           0.12           7.05
           1.69           0.12           7.05
           1.69           0.12           7.04
           1.69           0.11           7.04
           1.69           0.11           7.03
           1.70           0.11           7.03
           1.70           0.11           7.02
           1.70           0.11           7.02
           1.70           0.11           7.01
           1.70           0.11           7.01
           1.71           0.11           7.00
           1.71           0.11           6.99
           1.71           0.11           6.99
           1.71           0.11           6.98
           1.71           0.11           6.98
           1.72           0.11           6.97
           1.72           0.11           6.97
           1.72           0.11           6.96
           1.72           0.11           6.96
           1.72           0.11           6.95
           1.73           0.11           6.95
           1.73           0.11           6.94
           1.73           0.11           6.93
           1.73           0.11           6.93
           1.73           0.11           6.92
           1.74           0.11           6.92
           1.74           0.11           6.91
           1.74           0.11           6.91
           1.74           0.11           6.90
           1.74           0.11           6.90
           1.75           0.10           6.89
           1.75           0.10           6.89
           1.75           0.10           6.88
           1.75           0.10           6.88
           1.75           0.10           6.87
           1.76           0.10           6.86
           1.76           0.10           6.86
           1.76           0.10           6.85
           1.76           0.10           6.85
           1.76           0.10           6.84
           1.77           0.10           6.84
           1.77           0.10           6.83
           1.77           0.10           6.83
           1.77           0.10           6.82
           1.77           0.10           6.82
           1.78           0.10           6.81
           1.78           0.10           6.81
           1.78           0.10           6.80
           1.78           0.10           6.80
           1.78           0.10           6.79
           1.79           0.10           6.78
           1.79           0.10           6.78
           1.79           0.10           6.77
           1.79           0.10           6.77
           1.79           0.10           6.76
           1.80           0.10           6.76
           1.80           0.10           6.75
           1.80           0.10           6.75
           1.80           0.10           6.74
           1.80           0.10           6.74
           1.81           0.10           6.73
           1.81           0.09           6.73
           1.81           0.09           6.72
           1.81           0.09           6.72
           1.81           0.09           6.71
           1.82           0.09           6.71
           1.82           0.09           6.70
           1.82           0.09           6.70
           1.82           0.09           6.69
           1.82           0.09           6.68
           1.83           0.09           6.68
           1.83           0.09           6.67
           1.83           0.09           6.67
           1.83           0.09           6.66
           1.83           0.09           6.66
           1.84           0.09           6.65
           1.84           0.09           6.65
           1.84           0.09           6.64
           1.84           0.09           6.64
           1.84           0.09           6.63
           1.85           0.09           6.63
           1.85           0.09           6.62
           1.85           0.09           6.62
           1.85           0.09           6.61
           1.85           0.09           6.61
           1.86           0.09           6.60
           1.86           0.09           6.60
           1.86           0.09           6.59
           1.86           0.09           6.59
           1.86           0.09           6.58
           1.87           0.09           6.58
           1.87           0.09           6.57
           1.87           0.09           6.57
           1.87           0.09           6.56
           1.87           0.09           6.56
           1.88           0.09           6.55
           1.88           0.08           6.55
           1.88           0.08           6.54
           1.88           0.08           6.54
           1.88           0.08           6.53
           1.89           0.08           6.52
           1.89           0.08           6.52
           1.89           0.08           6.51
           1.89           0.08           6.51
           1.89           0.08           6.50
           1.90           0.08           6.50
           1.90           0.08           6.49
           1.90           0.08           6.49
           1.90           0.08           6.48
           1.90           0.08           6.48
           1.91           0.08           6.47
           1.91           0.08           6.47
           1.91           0.08           6.46
           1.91           0.08           6.46
           1.91           0.08           6.45
           1.92           0.08           6.45
           1.92           0.08           6.44
           1.92           0.08           6.44
           1.92           0.08           6.43
           1.92           0.08           6.43
           1.93           0.08           6.42
           1.93           0.08           6.42
           1.93           0.08           6.41
           1.93           0.08           6.41
           1.93           0.08           6.40
           1.94           0.08           6.40
           1.94           0.08           6.39
           1.94           0.08           6.39
