------------------------------
      t       Prey   Predator
    668.00      0.00     81.30
    669.00      0.00     80.90
    670.00      0.00     80.49
    671.00      0.00     80.09
    672.00      0.00     79.69
    673.00      0.00     79.29
    674.00      0.00     78.90
    675.00      0.00     78.50
    676.00      0.00     78.11
    677.00      0.00     77.72
    678.00      0.00     77.33
    679.00      0.00     76.94
    680.00      0.00     76.56
    681.00      0.00     76.17
    682.00      0.00     75.79
    683.00      0.00     75.42
    684.00      0.00     75.04
    685.00      0.00     74.66
    686.00      0.00     74.29
    687.00      0.00     73.92
    688.00      0.00     73.55
    689.00      0.00     73.18
    690.00      0.00     72.81
    691.00      0.00     72.45
    692.00      0.00     72.09
    693.00      0.00     71.73
    694.00      0.00     71.37
    695.00      0.00     71.01
    696.00      0.00     70.66
    697.00      0.00     70.30
    698.00      0.00     69.95
    699.00      0.00     69.60
    700.00      0.00     69.25
    701.00      0.00     68.91
    702.00      0.00     68.56
    703.00      0.00     68.22
    704.00      0.00     67.88
    705.00      0.00     67.54
    706.00      0.00     67.20
    707.00      0.00     66.87
    708.00      0.00     66.53
    709.00      0.00     66.20
    710.00      0.00     65.87
    711.00      0.00     65.54
    712.00      0.00     65.21
    713.00      0.00     64.89
    714.00      0.00     64.56
    715.00      0.00     64.24
    716.00      0.00     63.92
    717.00      0.00     63.60
    718.00      0.00     63.28
    719.00      0.00     62.96
    720.00      0.00     62.65
    721.00      0.00     62.34
    722.00      0.00     62.02
    723.00      0.00     61.71
    724.00      0.00     61.41
    725.00      0.00     61.10
    726.00      0.00     60.79
    727.00      0.00     60.49
    728.00      0.00     60.19
    729.00      0.00     59.89
    730.00      0.00     59.59
    731.00      0.00     59.29
    732.00      0.00     58.99
    733.00      0.00     58.70
    734.00      0.00     58.40
    735.00      0.00     58.11
    736.00      0.00     57.82
    737.00      0.00     57.53
    738.00      0.00     57.24
    739.00      0.00     56.96
    740.00      0.00     56.67
    741.00      0.00     56.39
    742.00      0.00     56.11
    743.00      0.00     55.83
    744.00      0.00     55.55
    745.00      0.00     55.27
    746.00      0.00     54.99
    747.00      0.00     54.72
    748.00      0.00     54.45
    749.00      0.00     54.17
    750.00      0.00     53.90
    751.00      0.00     53.63
    752.00      0.00     53.36
    753.00      0.00     53.10
    754.00      0.00     52.83
    755.00      0.00     52.57
    756.00      0.00     52.30
    757.00      0.00     52.04
    758.00      0.00     51.78
    759.00      0.00     51.52
    760.00      0.00     51.27
    761.00      0.00     51.01
    762.00      0.00     50.76
    763.00      0.00     50.50
    764.00      0.00     50.25
    765.00      0.00     50.00
    766.00      0.00     49.75
    767.00      0.00     49.50
    768.00      0.00     49.25
    769.00      0.00     49.01
    770.00      0.00     48.76
    771.00      0.00     48.52
    772.00      0.00     48.27
    773.00      0.00     48.03
    774.00      0.00     47.79
    775.00      0.00     47.55
    776.00      0.00     47.32
    777.00      0.00     47.08
    778.00      0.00     46.84
    779.00      0.00     46.61
    780.00      0.00     46.38
    781.00      0.00     46.14
    782.00      0.00     45.91
    783.00      0.00     45.68
    784.00      0.00     45.46
    785.00      0.00     45.23
    786.00      0.00     45.00
    787.00      0.00     44.78
    788.00      0.00     44.55
    789.00      0.00     44.33
    790.00      0.00     44.11
    791.00      0.00     43.89
    792.00      0.00     43.67
    793.00      0.00     43.45
    794.00      0.00     43.23
    795.00      0.00     43.02
    796.00      0.00     42.80
    797.00      0.00     42.59
    798.00      0.00     42.38
    799.00      0.00     42.16
    800.00      0.00     41.95
    801.00      0.00     41.74
    802.00      0.00     41.53
    803.00      0.00     41.33
    804.00      0.00     41.12
    805.00      0.00     40.91
    806.00      0.00     40.71
    807.00      0.00     40.51
    808.00      0.00     40.30
    809.00      0.00     40.10
    810.00      0.00     39.90
    811.00      0.00     39.70
    812.00      0.00     39.50
    813.00      0.00     39.31
    814.00      0.00     39.11
    815.00      0.00     38.91
    816.00      0.00     38.72
    817.00      0.00     38.53
    818.00      0.00     38.33
    819.00      0.00     38.14
    820.00      0.00     37.95
    821.00      0.00     37.76
    822.00      0.00     37.57
    823.00      0.00     37.38
    824.00      0.00     37.20
    825.00      0.00     37.01
    826.00      0.00     36.83
    827.00      0.00     36.64
    828.00      0.00     36.46
    829.00      0.00     36.28
    830.00      0.00     36.10
    831.00      0.00     35.91
    832.00      0.00     35.74
    833.00      0.00     35.56
    834.00      0.00     35.38
    835.00      0.00     35.20
    836.00      0.00     35.03
    837.00      0.00     34.85
    838.00      0.00     34.68
    839.00      0.00     34.50
    840.00      0.00     34.33
    841.00      0.00     34.16
    842.00      0.00     33.99
    843.00      0.00     33.82
    844.00      0.00     33.65
    845.00      0.00     33.48
    846.00      0.00     33.31
    847.00      0.00     33.15
    848.00      0.00     32.98
    849.00      0.00     32.82
    850.00      0.00     32.65
    851.00      0.00     32.49
    852.00      0.00     32.33
    853.00      0.00     32.16
    854.00      0.00     32.00
    855.00      0.00     31.84
    856.00      0.00     31.68
    857.00      0.00     31.53
    858.00      0.00     31.37
    859.00      0.00     31.21
    860.00      0.00     31.06
    861.00      0.00     30.90
    862.00      0.00     30.75
    863.00      0.00     30.59
    864.00      0.00     30.44
    865.00      0.00     30.29
    866.00      0.00     30.14
    867.00      0.00     29.99
    868.00      0.00     29.84
    869.00      0.00     29.69
    870.00      0.00     29.54
    871.00      0.00     29.39
    872.00      0.00     29.24
    873.00      0.00     29.10
    874.00      0.00     28.95
    875.00      0.00     28.81
    876.00      0.00     28.66
    877.00      0.00     28.52
    878.00      0.00     28.38
    879.00      0.00     28.23
    880.00      0.00     28.09
    881.00      0.00     27.95
    882.00      0.00     27.81
    883.00      0.00     27.67
    884.00      0.00     27.54
    885.00      0.00     27.40
    886.00      0.00     27.26
    887.00      0.00     27.12
    888.00      0.00     26.99
    889.00      0.00     26.85
    890.00      0.00     26.72
    891.00      0.00     26.59
    892.00      0.00     26.45
    893.00      0.00     26.32
    894.00      0.00     26.19
    895.00      0.00     26.06
    896.00      0.00     25.93
    897.00      0.00     25.80
    898.00      0.00     25.67
    899.00      0.00     25.54
    900.00      0.00     25.41
    901.00      0.00     25.29
    902.00      0.00     25.16
    903.00      0.00     25.03
    904.00      0.00     24.91
    905.00      0.00     24.78
    906.00      0.00     24.66
    907.00      0.00     24.54
    908.00      0.00     24.41
    909.00      0.00     24.29
    910.00      0.00     24.17
    911.00      0.00     24.05
